Question,Semester,Grade
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,0.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,0.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,0.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,0.0
Q1,2019,0.0
Q1,2019,0.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,1.0
Q1,2019,0.0
Q1,2019,0.0
Q1,2019,0.0
Q1,2019,1.0
Q1,2019,0.0
Q1,2019,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,1.0
Q1,2022-1,0.0
Q1,2022-1,0.0
Q1,2022-1,1.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,1.0
Q2,2019,0.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,1.0
Q2,2022-1,0.0
Q2,2022-1,0.0
Q2,2022-1,1.0
Q6*,2019,0.3333333333
Q6*,2019,0.5
Q6*,2019,0.3333333333
Q6*,2019,0.1666666667
Q6*,2019,0.5
Q6*,2019,0.6666666667
Q6*,2019,0.6666666667
Q6*,2019,0.6666666667
Q6*,2019,0.5
Q6*,2019,0.3333333333
Q6*,2019,0.6666666667
Q6*,2019,0.3333333333
Q6*,2019,0.6666666667
Q6*,2019,0.8333333333
Q6*,2019,0.3333333333
Q6*,2019,0.5
Q6*,2019,0.3333333333
Q6*,2019,0.3333333333
Q6*,2019,0.3333333333
Q6*,2019,0.3333333333
Q6*,2019,0.8333333333
Q6*,2019,0.8333333333
Q6*,2019,0.5
Q6*,2019,0.5
Q6*,2019,0.3333333333
Q6*,2019,0.5
Q6*,2019,0.9166666667
Q6*,2019,0.1666666667
Q6*,2019,0.8333333333
Q6*,2019,0.5
Q6*,2019,0.1666666667
Q6*,2019,0.8333333333
Q6*,2019,0.3333333333
Q6*,2019,0.9166666667
Q6*,2019,0.3333333333
Q6*,2019,0.8333333333
Q6*,2022-1,0.0
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.5
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,1.0
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.8333333333
Q6*,2022-1,1.0
Q6*,2022-1,0.5
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,1.0
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.8333333333
Q6*,2022-1,1.0
Q6*,2022-1,1.0
Q6*,2022-1,0.6666666667
Q6*,2022-1,0.8333333333
Q6*,2022-1,0.6666666667
Q6*,2022-1,1.0
Q6*,2022-1,0.6666666667
Q11,2019,1.0
Q11,2019,1.0
Q11,2019,1.0
Q11,2019,0.8
Q11,2019,1.0
Q11,2019,0.8
Q11,2019,0.8
Q11,2019,1.0
Q11,2019,0.8
Q11,2019,0.9
Q11,2019,0.9
Q11,2019,0.7
Q11,2019,0.9
Q11,2019,1.0
Q11,2019,0.9
Q11,2019,1.0
Q11,2019,0.8
Q11,2019,0.8
Q11,2019,0.9
Q11,2019,0.7
Q11,2019,0.4
Q11,2019,0.8
Q11,2019,0.8
Q11,2019,0.7
Q11,2019,0.9
Q11,2019,1.0
Q11,2019,1.0
Q11,2019,1.0
Q11,2019,0.7
Q11,2019,0.8
Q11,2019,0.8
Q11,2019,0.9
Q11,2019,0.4
Q11,2019,1.0
Q11,2019,0.9
Q11,2019,0.8
Q11,2022-1,0.56
Q11,2022-1,0.89
Q11,2022-1,0.67
Q11,2022-1,1.0
Q11,2022-1,0.89
Q11,2022-1,0.67
Q11,2022-1,0.67
Q11,2022-1,0.89
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,1.0
Q11,2022-1,0.67
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.67
Q11,2022-1,0.56
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.89
Q11,2022-1,0.89
Q11,2022-1,0.78
Q11,2022-1,0.67
Q11,2022-1,0.89
Q11,2022-1,0.78
Q11,2022-1,0.56
Q11,2022-1,0.78
Q11,2022-1,1.0
Q11,2022-1,0.56
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.89
Q11,2022-1,0.67
Q11,2022-1,0.67
Q11,2022-1,0.67
Q11,2022-1,0.78
Q11,2022-1,0.78
Q11,2022-1,0.67
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,0.25
Q12,2019,0.75
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,0.75
Q12,2019,0.5
Q12,2019,0.75
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,0.75
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,0.5
Q12,2019,0.75
Q12,2019,1.0
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,0.75
Q12,2019,0.25
Q12,2019,1.0
Q12,2019,0.75
Q12,2019,0.75
Q12,2019,0.75
Q12,2019,1.0
Q12,2019,1.0
Q12,2022-1,1.0
Q12,2022-1,0.5
Q12,2022-1,1.0
Q12,2022-1,1.0
Q12,2022-1,1.0
Q12,2022-1,0.75
Q12,2022-1,0.5
Q12,2022-1,1.0
Q12,2022-1,1.0
Q12,2022-1,0.5
Q12,2022-1,1.0
Q12,2022-1,0.5
Q12,2022-1,0.5
Q12,2022-1,0.75
Q12,2022-1,0.5
Q12,2022-1,0.75
Q12,2022-1,0.5
Q12,2022-1,0.75
Q12,2022-1,0.75
Q15,2019,0.88
Q15,2019,0.88
Q15,2019,0.5
Q15,2019,1.0
Q15,2019,0.5
Q15,2019,0.5
Q15,2019,0.63
Q15,2019,0.63
Q15,2019,1.0
Q15,2019,0.88
